review_text,timestamp
Fast service and amazing coffee. Highly recommend!,2025-01-14
"I had high expectations, but they weren't met.",2024-10-29
The product broke after a week. Not happy at all.,2025-04-13
Clean place and polite staff. Will come again.,2024-11-29
Great customer service. Helped me choose the right product.,2024-11-30
The product broke after a week. Not happy at all.,2025-03-11
Fast service and amazing coffee. Highly recommend!,2024-11-02
Disgusting food. Had to return my meal.,2025-03-12
Disgusting food. Had to return my meal.,2024-11-01
Loved the atmosphere. The staff made us feel welcome.,2024-12-21
"I had high expectations, but they weren't met.",2025-04-18
Fast service and amazing coffee. Highly recommend!,2024-12-21
Awesome experience overall. Can't wait to return!,2024-10-31
Poor communication and very slow response times.,2025-01-09
Disgusting food. Had to return my meal.,2025-01-06
Awesome experience overall. Can't wait to return!,2025-04-06
Absolutely loved the service! The staff was super friendly.,2025-03-17
Not worth the price. Very disappointed with the quality.,2024-11-25
The ambiance was great and the food was delicious.,2025-03-18
Poor communication and very slow response times.,2025-02-01
Awesome experience overall. Can't wait to return!,2024-10-30
Overpriced and underwhelming. Would not visit again.,2025-04-04
Overpriced and underwhelming. Would not visit again.,2025-03-31
Not worth the price. Very disappointed with the quality.,2025-03-25
Awesome experience overall. Can't wait to return!,2025-01-16
Fast service and amazing coffee. Highly recommend!,2025-02-16
Fast service and amazing coffee. Highly recommend!,2025-04-09
The ambiance was great and the food was delicious.,2025-03-30
The product broke after a week. Not happy at all.,2024-11-18
"I had high expectations, but they weren't met.",2025-03-14
Clean place and polite staff. Will come again.,2024-10-30
Not worth the price. Very disappointed with the quality.,2024-10-25
Loved the atmosphere. The staff made us feel welcome.,2024-12-01
Terrible experience. I waited for 30 minutes and no one helped me.,2025-01-10
Not worth the price. Very disappointed with the quality.,2025-04-15
Awesome experience overall. Can't wait to return!,2025-02-01
Awesome experience overall. Can't wait to return!,2025-02-16
Terrible experience. I waited for 30 minutes and no one helped me.,2025-04-03
Terrible experience. I waited for 30 minutes and no one helped me.,2025-02-24
Terrible experience. I waited for 30 minutes and no one helped me.,2025-02-07
Absolutely loved the service! The staff was super friendly.,2025-04-23
Fast service and amazing coffee. Highly recommend!,2025-04-02
The product broke after a week. Not happy at all.,2025-01-12
Great customer service. Helped me choose the right product.,2025-01-27
Disgusting food. Had to return my meal.,2025-02-14
Absolutely loved the service! The staff was super friendly.,2025-04-23
Disgusting food. Had to return my meal.,2024-12-24
Awesome experience overall. Can't wait to return!,2025-03-08
Awesome experience overall. Can't wait to return!,2025-01-02
The ambiance was great and the food was delicious.,2024-12-17
